"Código","Unidade Territorial","UF","Referência","Total de Benefícios Básicos","Total de Benefícios Variáveis","Total de Benefícios Variáveis vinculados ao Jovem (BVJ)","Total de Benefícios Variáveis vinculados à Nutriz (BVN)","Total de Benefícios Variáveis vinculados à Gestante (BVG)","Total de Benefícios para Superação da Extrema Pobreza (BSP)"
"150010","ABAETETUBA","PA","2008","12404","22889","3497","","",""
"150010","ABAETETUBA","PA","2016","21586","30243","6229","421","636","16381"
"150010","ABAETETUBA","PA","2015","19325","27160","6322","236","467","15289"
"150010","ABAETETUBA","PA","2014","20707","29541","7339","310","534","16769"
"150010","ABAETETUBA","PA","2012","20719","31253","7311","145","527","11537"
"150010","ABAETETUBA","PA","2007","12007","24068","","","",""
"150010","ABAETETUBA","PA","2019","33696","34225","6036","737","1075","21825"
"150010","ABAETETUBA","PA","2018","33679","34986","6263","914","1194","21182"
"150010","ABAETETUBA","PA","2011","18705","31471","3276","18","67",""
"150010","ABAETETUBA","PA","2010","16672","28090","3968","","",""
"150010","ABAETETUBA","PA","2013","20585","30895","6512","133","446","16280"
"150010","ABAETETUBA","PA","2006","10996","22913","","","",""
"150010","ABAETETUBA","PA","2020","33399","33161","5651","36","541","22312"
"150010","ABAETETUBA","PA","2021","33002","31273","5950","766","268","22471"
"150010","ABAETETUBA","PA","2009","14743","25499","3905","","",""
"150010","ABAETETUBA","PA","2017","29526","34025","6423","813","812","19348"
"150010","ABAETETUBA","PA","2005","9382","20399","","","",""
"150010","ABAETETUBA","PA","2004","6913","16821","","","",""
"150013","ABEL FIGUEIREDO","PA","2010","712","1273","82","","",""
"150013","ABEL FIGUEIREDO","PA","2017","1053","1699","239","50","57","759"
"150013","ABEL FIGUEIREDO","PA","2011","932","1633","126","21","",""
"150013","ABEL FIGUEIREDO","PA","2004","281","655","","","",""
"150013","ABEL FIGUEIREDO","PA","2005","408","895","","","",""
"150013","ABEL FIGUEIREDO","PA","2019","1120","1709","241","28","53","824"
"150013","ABEL FIGUEIREDO","PA","2009","603","1106","105","","",""
"150013","ABEL FIGUEIREDO","PA","2014","1046","1622","242","23","29","576"
"150013","ABEL FIGUEIREDO","PA","2006","504","1092","","","",""
"150013","ABEL FIGUEIREDO","PA","2021","1099","1571","250","34","15","849"
"150013","ABEL FIGUEIREDO","PA","2008","564","1058","113","","",""
"150013","ABEL FIGUEIREDO","PA","2013","1015","1615","216","15","24","297"
"150013","ABEL FIGUEIREDO","PA","2007","552","1091","","","",""
"150013","ABEL FIGUEIREDO","PA","2012","977","1637","216","21","9","125"
"150013","ABEL FIGUEIREDO","PA","2016","995","1657","245","31","44","665"
"150013","ABEL FIGUEIREDO","PA","2018","1129","1772","260","55","58","819"
"150013","ABEL FIGUEIREDO","PA","2020","1119","1671","235","7","25","827"
"150013","ABEL FIGUEIREDO","PA","2015","993","1606","224","37","13","632"
"150020","ACARÁ","PA","2019","10810","15924","2657","129","604","4837"
"150020","ACARÁ","PA","2016","9180","15549","2562","95","426","5030"
"150020","ACARÁ","PA","2006","1492","3391","","","",""
"150020","ACARÁ","PA","2005","1411","3460","","","",""
"150020","ACARÁ","PA","2015","9059","15357","2434","68","160","5590"
"150020","ACARÁ","PA","2009","5096","9333","1250","","",""
"150020","ACARÁ","PA","2021","10478","14220","2865","312","89","4300"
"150020","ACARÁ","PA","2020","10795","15378","2606","4","309","4643"
"150020","ACARÁ","PA","2017","10194","16305","2635","208","462","4771"
"150020","ACARÁ","PA","2010","5248","9621","1085","","",""
"150020","ACARÁ","PA","2018","11126","16528","2660","243","514","5180"
"150020","ACARÁ","PA","2008","4902","9203","1153","","",""
"150020","ACARÁ","PA","2007","4112","8171","","","",""
"150020","ACARÁ","PA","2011","6156","12098","1061","2","26",""
"150020","ACARÁ","PA","2004","1408","3412","","","",""
"150020","ACARÁ","PA","2014","9666","16201","2534","185","188","6182"
"150020","ACARÁ","PA","2013","7762","14566","2234","82","131","4154"
"150020","ACARÁ","PA","2012","6726","12029","2396","13","156","3094"
"150030","AFUÁ","PA","2004","1119","2723","","","",""
"150030","AFUÁ","PA","2020","6628","12312","2020","0","113","3825"
"150030","AFUÁ","PA","2009","3051","7027","1032","","",""
"150030","AFUÁ","PA","2007","2398","4747","","","",""
"150030","AFUÁ","PA","2008","2124","5475","820","","",""
"150030","AFUÁ","PA","2017","6737","13583","2225","245","301","3745"
"150030","AFUÁ","PA","2016","5725","12618","2157","159","109","2861"
"150030","AFUÁ","PA","2018","6919","13287","2197","96","359","4095"
"150030","AFUÁ","PA","2019","6572","12773","2025","212","238","3738"
"150030","AFUÁ","PA","2005","1670","3723","","","",""
"150030","AFUÁ","PA","2015","5311","11887","1938","89","162","1871"
"150030","AFUÁ","PA","2006","2129","4395","","","",""
"150030","AFUÁ","PA","2011","3813","10147","1336","41","6",""
"150030","AFUÁ","PA","2014","4991","11294","2054","70","205","1710"
"150030","AFUÁ","PA","2012","4331","10657","1851","64","88","702"
"150030","AFUÁ","PA","2013","4650","11331","1811","49","120","1210"
"150030","AFUÁ","PA","2021","6450","11391","2244","210","87","3860"
"150030","AFUÁ","PA","2010","3492","8063","882","","",""
"150034","ÁGUA AZUL DO NORTE","PA","2010","2760","4098","338","","",""
"150034","ÁGUA AZUL DO NORTE","PA","2004","314","793","","","",""
"150034","ÁGUA AZUL DO NORTE","PA","2009","2475","3851","350","","",""
"150034","ÁGUA AZUL DO NORTE","PA","2020","2729","3232","510","10","63","1328"
"150034","ÁGUA AZUL DO NORTE","PA","2014","3530","4090","701","85","57","1706"
