year;areakm;municipality;geocode_ibge;state;FullLocation
2008;1.2424613960392064;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2009;2.9896739671142676;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2010;3.8289829884054596;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2011;0.8320869368751692;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2012;2.2409178045443676;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2013;0.42117111149517017;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2014;0.2439393881625319;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2015;0.5861482650246084;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2016;0.3856690067861612;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2017;1.1789234140866527;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2018;0.6396519103752514;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2019;0.34012307717826396;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2020;1.2244934107992753;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2021;1.6968263946206572;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2022;0.40692128886863566;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2023;0.31446348211739467;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2024;0.5648192609955512;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil
2008;2.0430416513672123;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2009;1.0405524217900506;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2010;1.7377752785551128;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2011;0.4365702380566971;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2012;0.0;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2013;0.35608089503521584;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2014;0.4211885291934384;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2015;0.1644385884062416;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2016;0.5040841573761293;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2017;0.2402553422768378;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2018;0.9512147374066928;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2019;4.153506027498901;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2020;1.213128051320839;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2021;2.0720799527669476;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2022;2.7259403528643067;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2023;1.53300483646723;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2024;0.17491141879251024;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil
2008;47.75979073352992;Acará;1500206;Pará;Acará, Pará, Brazil
2009;11.895465461223644;Acará;1500206;Pará;Acará, Pará, Brazil
2010;30.159612138842373;Acará;1500206;Pará;Acará, Pará, Brazil
2011;15.00688320817623;Acará;1500206;Pará;Acará, Pará, Brazil
2012;4.814033032697277;Acará;1500206;Pará;Acará, Pará, Brazil
2013;18.270716486079618;Acará;1500206;Pará;Acará, Pará, Brazil
2014;5.834379091348468;Acará;1500206;Pará;Acará, Pará, Brazil
2015;7.007347264517175;Acará;1500206;Pará;Acará, Pará, Brazil
2016;7.2124247535574435;Acará;1500206;Pará;Acará, Pará, Brazil
2017;18.538495417554365;Acará;1500206;Pará;Acará, Pará, Brazil
2018;16.741240950348107;Acará;1500206;Pará;Acará, Pará, Brazil
2019;18.166062982018424;Acará;1500206;Pará;Acará, Pará, Brazil
2020;15.66707660532316;Acará;1500206;Pará;Acará, Pará, Brazil
2021;10.313944804953639;Acará;1500206;Pará;Acará, Pará, Brazil
2022;5.708188704906543;Acará;1500206;Pará;Acará, Pará, Brazil
2023;8.364741384960636;Acará;1500206;Pará;Acará, Pará, Brazil
2024;12.631878651278807;Acará;1500206;Pará;Acará, Pará, Brazil
2008;0.13358219399535531;Afuá;1500305;Pará;Afuá, Pará, Brazil
2009;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil
2010;1.7319582073245856;Afuá;1500305;Pará;Afuá, Pará, Brazil
2011;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil
2012;0.15051121598603556;Afuá;1500305;Pará;Afuá, Pará, Brazil
2013;0.07392782951993802;Afuá;1500305;Pará;Afuá, Pará, Brazil
2014;0.17189921494880817;Afuá;1500305;Pará;Afuá, Pará, Brazil
2015;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil
2016;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil
2017;0.12054717208911213;Afuá;1500305;Pará;Afuá, Pará, Brazil
2018;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil
2019;0.10780247932492669;Afuá;1500305;Pará;Afuá, Pará, Brazil
2020;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil
2021;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil
2022;0.16465130476523432;Afuá;1500305;Pará;Afuá, Pará, Brazil
2023;0.2720332688113031;Afuá;1500305;Pará;Afuá, Pará, Brazil
2024;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil
2008;39.557240452888806;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2009;18.50562281987502;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2010;27.531522311243407;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2011;21.86844533365137;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2012;14.859315120477248;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2013;17.811671755966405;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2014;16.442435610656066;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2015;15.128995050669173;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2016;16.199661403271964;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2017;27.468203761223485;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2018;22.030701155927137;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2019;19.838942749745648;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2020;32.85926484235845;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2021;31.91596844590526;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2022;29.035255061866064;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2023;22.290819892761697;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2024;34.894175607133285;Alenquer;1500404;Pará;Alenquer, Pará, Brazil
2008;59.026652078557454;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2009;23.34307615993181;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2010;38.54389291374376;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2011;6.486189809948875;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2012;19.48644721676855;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2013;9.176219814073837;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2014;23.47965219949605;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2015;12.138711951041724;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2016;14.965068575314394;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2017;20.799116040915415;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2018;18.592933222383174;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2019;29.67244562072369;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2020;24.70141536916831;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2021;31.54043403667862;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2022;18.384417573209582;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2023;22.806592030402932;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2024;29.931589678863258;Almeirim;1500503;Pará;Almeirim, Pará, Brazil
2008;339.6219893591748;Altamira;1500602;Pará;Altamira, Pará, Brazil
2009;388.93491380446903;Altamira;1500602;Pará;Altamira, Pará, Brazil
2010;193.85133813676038;Altamira;1500602;Pará;Altamira, Pará, Brazil
2011;249.89502871317762;Altamira;1500602;Pará;Altamira, Pará, Brazil
2012;228.95971312344585;Altamira;1500602;Pará;Altamira, Pará, Brazil
2013;296.53594671169327;Altamira;1500602;Pará;Altamira, Pará, Brazil
2014;294.22794684756883;Altamira;1500602;Pará;Altamira, Pará, Brazil
2015;308.1992204157817;Altamira;1500602;Pará;Altamira, Pará, Brazil
2016;408.6537982400085;Altamira;1500602;Pará;Altamira, Pará, Brazil
2017;224.21683681958973;Altamira;1500602;Pará;Altamira, Pará, Brazil
2018;429.95288544050953;Altamira;1500602;Pará;Altamira, Pará, Brazil
2019;575.075842070961;Altamira;1500602;Pará;Altamira, Pará, Brazil
2020;797.6865334027787;Altamira;1500602;Pará;Altamira, Pará, Brazil
2021;765.5287860339106;Altamira;1500602;Pará;Altamira, Pará, Brazil
2022;626.0215439675537;Altamira;1500602;Pará;Altamira, Pará, Brazil
2023;317.6962792321475;Altamira;1500602;Pará;Altamira, Pará, Brazil
2024;166.63037932670895;Altamira;1500602;Pará;Altamira, Pará, Brazil
2008;0.0;Anajás;1500701;Pará;Anajás, Pará, Brazil
2009;1.0282892853447219;Anajás;1500701;Pará;Anajás, Pará, Brazil
2010;11.978023453442315;Anajás;1500701;Pará;Anajás, Pará, Brazil
2011;0.3067108001629317;Anajás;1500701;Pará;Anajás, Pará, Brazil
2012;0.09258131663796688;Anajás;1500701;Pará;Anajás, Pará, Brazil
2013;0.0;Anajás;1500701;Pará;Anajás, Pará, Brazil
2014;0.0;Anajás;1500701;Pará;Anajás, Pará, Brazil
2015;0.1056042041201989;Anajás;1500701;Pará;Anajás, Pará, Brazil
2016;0.3790389884144489;Anajás;1500701;Pará;Anajás, Pará, Brazil
2017;0.0;Anajás;1500701;Pará;Anajás, Pará, Brazil
2018;0.0;Anajás;1500701;Pará;Anajás, Pará, Brazil
2019;0.39414955682367986;Anajás;1500701;Pará;Anajás, Pará, Brazil
2020;0.8951300692990054;Anajás;1500701;Pará;Anajás, Pará, Brazil
2021;0.9718692758230686;Anajás;1500701;Pará;Anajás, Pará, Brazil
2022;0.13315658524740914;Anajás;1500701;Pará;Anajás, Pará, Brazil
2023;0.1965568987568205;Anajás;1500701;Pará;Anajás, Pará, Brazil
2024;0.07587787529945839;Anajás;1500701;Pará;Anajás, Pará, Brazil
2008;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2009;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2010;0.07111884978717113;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2011;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2012;0.08301019067353534;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2013;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2014;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2015;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2016;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2017;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2018;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2019;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2020;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2021;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2022;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2023;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2024;0.0;Ananindeua;1500800;Pará;Ananindeua, Pará, Brazil
2008;74.62669637906592;Anapu;1500859;Pará;Anapu, Pará, Brazil
2009;26.76604166116152;Anapu;1500859;Pará;Anapu, Pará, Brazil
2010;77.50600804557838;Anapu;1500859;Pará;Anapu, Pará, Brazil
2011;223.26593787860864;Anapu;1500859;Pará;Anapu, Pará, Brazil
2012;15.828314449444454;Anapu;1500859;Pará;Anapu, Pará, Brazil
2013;19.161279711186626;Anapu;1500859;Pará;Anapu, Pará, Brazil
2014;32.10045130364817;Anapu;1500859;Pará;Anapu, Pará, Brazil
2015;95.11183780196775;Anapu;1500859;Pará;Anapu, Pará, Brazil
2016;85.49029881944048;Anapu;1500859;Pará;Anapu, Pará, Brazil
2017;98.43099279751124;Anapu;1500859;Pará;Anapu, Pará, Brazil
2018;56.35094426890621;Anapu;1500859;Pará;Anapu, Pará, Brazil
2019;217.31258541849567;Anapu;1500859;Pará;Anapu, Pará, Brazil
2020;111.94868902581243;Anapu;1500859;Pará;Anapu, Pará, Brazil
2021;133.74369541000132;Anapu;1500859;Pará;Anapu, Pará, Brazil
2022;108.23945055799145;Anapu;1500859;Pará;Anapu, Pará, Brazil
2023;95.72291367705787;Anapu;1500859;Pará;Anapu, Pará, Brazil
2024;56.84979123420708;Anapu;1500859;Pará;Anapu, Pará, Brazil
2008;0.3134231725368131;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
2009;0.39035377885770944;Augusto Corrêa;1500909;Pará;Augusto Corrêa, Pará, Brazil
