Municipio,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
150010 ABAETETUBA,10225,10692,10629,9931,9364,7954,7296,7791,6366,7829,7941,7587,5514,10107,12251,12017,11926,3707,159127
150013 ABEL FIGUEIREDO,371,680,674,663,759,733,646,530,399,600,418,415,187,471,496,474,423,122,9061
150020 ACARA,2680,2103,2000,2001,2086,2103,2083,1696,1498,1447,1440,1424,955,1369,1595,1399,1756,495,30130
150030 AFUA,1069,712,1422,1304,747,915,863,1029,817,1227,1122,950,840,713,962,808,1039,299,16838
150034 AGUA AZUL DO NORTE,1695,1955,1882,1335,812,1204,1243,743,1132,1741,1175,1266,877,1065,933,799,1039,322,21218
150040 ALENQUER,6066,5693,5187,5388,5528,4935,3770,2292,-,541,3933,4373,3618,4291,4200,5163,5571,1836,72385
150050 ALMEIRIM,3339,2139,2170,991,953,985,1088,928,1171,1198,1585,1629,1097,1651,2080,2159,2078,650,27891
150060 ALTAMIRA,14574,14363,14888,14949,13792,15367,15131,11137,10171,10033,9589,10644,9294,9406,12281,12135,11611,4280,213645
150070 ANAJAS,1296,922,1246,1187,874,753,951,1044,1012,1264,1358,1300,1056,1005,1589,1559,1607,538,20561
150080 ANANINDEUA,34322,37338,42983,41259,36971,37766,39177,34683,34556,36034,41890,39105,31247,26465,23153,25965,24669,8531,596114
150085 ANAPU,612,700,1192,905,822,1209,1554,1221,1222,1408,1724,2209,1557,1788,2233,1725,1311,309,23701
150090 AUGUSTO CORREA,2590,2547,2546,2767,2746,3289,2893,2982,2476,2546,3736,3645,3071,3255,3078,2747,3806,1217,51937
150095 AURORA DO PARA,1083,1466,1475,962,1361,1232,1313,1299,1449,1401,1234,1303,987,1321,1329,1332,1523,474,22544
150110 BAGRE,-,-,-,-,-,-,-,-,-,-,-,-,-,37,167,350,425,158,1137
150120 BAIAO,1154,1348,1338,2003,1130,1072,1937,1220,1261,1947,2318,2364,1102,1519,2282,2127,2326,540,28988
150125 BANNACH,39,140,705,506,729,440,327,306,292,287,267,211,121,192,178,172,196,42,5150
