Ano,Código da Grande Região,Nome da Grande Região,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome da Unidade da Federação,Código do Município,Nome do Município,Região Metropolitana,Código da Mesorregião,Nome da Mesorregião,Código da Microrregião,Nome da Microrregião,Código da Região Geográfica Imediata,Nome da Região Geográfica Imediata,Município da Região Geográfica Imediata,Código da Região Geográfica Intermediária,Nome da Região Geográfica Intermediária,Município da Região Geográfica Intermediária,Código Concentração Urbana,Nome Concentração Urbana,Tipo Concentração Urbana,Código Arranjo Populacional,Nome Arranjo Populacional,Hierarquia Urbana,Hierarquia Urbana (principais categorias),Código da Região Rural,Nome da Região Rural,Região rural (segundo classificação do núcleo),Amazônia Legal,Semiárido,Cidade-Região de São Paulo,"Valor adicionado bruto da Agropecuária, 
a preços correntes
(R$ 1.000)","Valor adicionado bruto da Indústria,
a preços correntes
(R$ 1.000)","Valor adicionado bruto dos Serviços,
a preços correntes 
- exceto Administração, defesa, educação e saúde públicas e seguridade social
(R$ 1.000)","Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social, 
a preços correntes
(R$ 1.000)","Valor adicionado bruto total, 
a preços correntes
(R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos, 
a preços correntes
(R$ 1.000)","Produto Interno Bruto, 
a preços correntes
(R$ 1.000)","Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)"
2002,1,Norte,15,PA,Pará,1500107,Abaetetuba,,1504,Nordeste Paraense,15011,Cametá,150003,Abaetetuba,Polo,1501,Belém,do Entorno,1500107.0,Abaetetuba,Média concentração urbana,,,Centro Sub-Regional B,Centro Sub-Regional,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,38152.623,22444.443,67324.262,85969.33,213890.658,10463.343,224354.001,1799.79
2002,1,Norte,15,PA,Pará,1500131,Abel Figueiredo,,1506,Sudeste Paraense,15017,Paragominas,150009,Marabá,do Entorno,1503,Marabá,do Entorno,,,,,,Centro Local,Centro Local,1503,Região Rural da Capital Regional de Marabá,Região Rural de Capital Regional,Sim,Não,Não,16852.009,4661.209,4681.692,5341.1,31536.011,987.438,32523.449,5071.49
2002,1,Norte,15,PA,Pará,1500206,Acará,,1504,Nordeste Paraense,15012,Tomé-Açu,150001,Belém,do Entorno,1501,Belém,do Entorno,,,,,,Centro Local,Centro Local,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,111158.392,13695.719,24006.948,42445.714,191306.773,5799.003,197105.776,3493.67
2002,1,Norte,15,PA,Pará,1500305,Afuá,,1502,Marajó,15005,Furos de Breves,150020,Breves,do Entorno,1507,Breves,do Entorno,,,,,,Centro Local,Centro Local,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,44061.346,5310.671,9737.425,24491.576,83601.017,1641.783,85242.8,2644.58
2002,1,Norte,15,PA,Pará,1500347,Água Azul do Norte,,1506,Sudeste Paraense,15019,Parauapebas,150014,Xinguara,do Entorno,1504,Redenção,do Entorno,,,,,,Centro Local,Centro Local,1503,Região Rural da Capital Regional de Marabá,Região Rural de Capital Regional,Sim,Não,Não,35420.352,1459.636,4327.824,18038.512,59246.324,939.565,60185.889,2274.43
2002,1,Norte,15,PA,Pará,1500404,Alenquer,,1501,Baixo Amazonas,15002,Santarém,150015,Santarém,do Entorno,1505,Santarém,do Entorno,,,,,,Centro Local,Centro Local,1501,Região Rural dos Centros de Zona de Almeirim e Monte Alegre,Região Rural de Centro de zona,Sim,Não,Não,37956.907,4928.742,22480.87,32551.325,97917.844,2867.189,100785.033,2459.79
2002,1,Norte,15,PA,Pará,1500503,Almeirim,,1501,Baixo Amazonas,15003,Almeirim,150019,Almeirim - Porto de Moz,Polo,1506,Altamira,do Entorno,,,,1600279.0,Laranjal do Jari/AP - Almeirim/PA,Centro de Zona A,Centro de Zona,1501,Região Rural dos Centros de Zona de Almeirim e Monte Alegre,Região Rural de Centro de zona,Sim,Não,Não,19581.812,160031.738,77650.245,35819.081,293082.876,40351.92,333434.796,9776.71
2002,1,Norte,15,PA,Pará,1500602,Altamira,,1505,Sudoeste Paraense,15015,Altamira,150018,Altamira,Polo,1506,Altamira,Polo,,,,,,Centro Sub-Regional A,Centro Sub-Regional,1504,Região Rural da Capital Regional de Santarém,Região Rural de Capital Regional,Sim,Não,Não,49333.912,33123.617,108279.409,73662.724,264399.662,20047.731,284447.394,3527.85
2002,1,Norte,15,PA,Pará,1500701,Anajás,,1502,Marajó,15005,Furos de Breves,150020,Breves,do Entorno,1507,Breves,do Entorno,,,,,,Centro Local,Centro Local,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,5513.27,5771.667,5596.168,15641.16,32522.265,1618.619,34140.884,1752.43
2002,1,Norte,15,PA,Pará,1500800,Ananindeua,Região Metropolitana de Belém,1503,Metropolitana de Belém,15007,Belém,150001,Belém,do Entorno,1501,Belém,do Entorno,1501402.0,Belém/PA,Grande concentração urbana,1501402.0,Belém/PA,Metrópole,Metrópole,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,5300.306,268828.18,644206.499,270615.377,1188950.362,167624.509,1356574.871,3124.4
2002,1,Norte,15,PA,Pará,1500859,Anapu,,1505,Sudoeste Paraense,15015,Altamira,150018,Altamira,do Entorno,1506,Altamira,do Entorno,,,,,,Centro Local,Centro Local,1504,Região Rural da Capital Regional de Santarém,Região Rural de Capital Regional,Sim,Não,Não,15346.172,2981.41,5318.86,7780.718,31427.16,1402.33,32829.489,3980.3
2002,1,Norte,15,PA,Pará,1500909,Augusto Corrêa,,1504,Nordeste Paraense,15010,Bragantina,150005,Bragança,do Entorno,1502,Castanhal,do Entorno,,,,,,Centro Local,Centro Local,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,14149.298,1847.068,7657.218,25828.723,49482.307,1017.341,50499.649,1494.82
2002,1,Norte,15,PA,Pará,1500958,Aurora do Pará,,1504,Nordeste Paraense,15013,Guamá,150007,Paragominas,do Entorno,1502,Castanhal,do Entorno,,,,,,Centro Local,Centro Local,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,35794.944,3904.014,7883.002,14960.928,62542.888,991.148,63534.036,2908.53
2002,1,Norte,15,PA,Pará,1501006,Aveiro,,1505,Sudoeste Paraense,15014,Itaituba,150016,Itaituba,do Entorno,1505,Santarém,do Entorno,,,,,,Centro Local,Centro Local,1504,Região Rural da Capital Regional de Santarém,Região Rural de Capital Regional,Sim,Não,Não,4043.61,427.823,1950.802,11712.239,18134.475,264.527,18399.002,1091.86
2002,1,Norte,15,PA,Pará,1501105,Bagre,,1502,Marajó,15004,Portel,150020,Breves,do Entorno,1507,Breves,do Entorno,,,,,,Centro Local,Centro Local,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,10346.128,1676.525,4014.721,11213.061,27250.436,701.714,27952.151,2044.93
2002,1,Norte,15,PA,Pará,1501204,Baião,,1504,Nordeste Paraense,15011,Cametá,150011,Tucuruí,do Entorno,1503,Marabá,do Entorno,,,,,,Centro Local,Centro Local,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,21662.105,4842.209,7628.9,19380.233,53513.447,1298.171,54811.619,2558.9
2002,1,Norte,15,PA,Pará,1501253,Bannach,,1506,Sudeste Paraense,15018,São Félix do Xingu,150012,Redenção,do Entorno,1504,Redenção,do Entorno,,,,,,Centro Local,Centro Local,1503,Região Rural da Capital Regional de Marabá,Região Rural de Capital Regional,Sim,Não,Não,18486.303,753.439,2702.464,4279.234,26221.44,419.304,26640.743,7377.66
2002,1,Norte,15,PA,Pará,1501303,Barcarena,,1503,Metropolitana de Belém,15007,Belém,150001,Belém,do Entorno,1501,Belém,do Entorno,,,,,,Centro Sub-Regional B,Centro Sub-Regional,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,26015.567,524762.927,337472.315,64648.363,952899.171,193910.414,1146809.585,16804.79
2002,1,Norte,15,PA,Pará,1501402,Belém,Região Metropolitana de Belém,1503,Metropolitana de Belém,15007,Belém,150001,Belém,Polo,1501,Belém,Polo,1501402.0,Belém/PA,Grande concentração urbana,1501402.0,Belém/PA,Metrópole,Metrópole,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,18304.509,1392452.341,4385050.82,1000789.599,6796597.269,1207483.676,8004080.945,5981.96
2002,1,Norte,15,PA,Pará,1501451,Belterra,Região Metropolitana de Santarém,1501,Baixo Amazonas,15002,Santarém,150015,Santarém,do Entorno,1505,Santarém,do Entorno,,,,,,Centro Local,Centro Local,1504,Região Rural da Capital Regional de Santarém,Região Rural de Capital Regional,Sim,Não,Não,9281.019,1824.007,4487.012,11558.554,27150.592,589.847,27740.439,1757.39
2002,1,Norte,15,PA,Pará,1501501,Benevides,Região Metropolitana de Belém,1503,Metropolitana de Belém,15007,Belém,150001,Belém,do Entorno,1501,Belém,do Entorno,1501402.0,Belém/PA,Grande concentração urbana,1501402.0,Belém/PA,Metrópole,Metrópole,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,8048.23,20546.336,66947.246,27438.159,122979.97,25898.872,148878.842,3767.18
2002,1,Norte,15,PA,Pará,1501576,Bom Jesus do Tocantins,,1506,Sudeste Paraense,15017,Paragominas,150009,Marabá,do Entorno,1503,Marabá,do Entorno,,,,,,Centro Local,Centro Local,1503,Região Rural da Capital Regional de Marabá,Região Rural de Capital Regional,Sim,Não,Não,11060.027,2890.113,6147.213,9989.567,30086.92,1044.105,31131.024,2298.68
2002,1,Norte,15,PA,Pará,1501600,Bonito,,1504,Nordeste Paraense,15010,Bragantina,150006,Capanema,do Entorno,1502,Castanhal,do Entorno,,,,,,Centro Local,Centro Local,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,5179.692,951.979,2510.97,7826.348,16468.99,353.088,16822.078,1652.14
2002,1,Norte,15,PA,Pará,1501709,Bragança,,1504,Nordeste Paraense,15010,Bragantina,150005,Bragança,Polo,1502,Castanhal,do Entorno,1501709.0,Bragança,Média concentração urbana,,,Centro de Zona A,Centro de Zona,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,40013.836,13248.075,55322.595,65406.139,173990.645,8850.735,182841.379,1872.34
2002,1,Norte,15,PA,Pará,1501725,Brasil Novo,,1505,Sudoeste Paraense,15015,Altamira,150018,Altamira,do Entorno,1506,Altamira,do Entorno,,,,,,Centro Local,Centro Local,1504,Região Rural da Capital Regional de Santarém,Região Rural de Capital Regional,Sim,Não,Não,27692.32,2239.764,7249.618,14433.486,51615.188,1129.497,52744.685,2802.29
2002,1,Norte,15,PA,Pará,1501758,Brejo Grande do Araguaia,,1506,Sudeste Paraense,15020,Marabá,150009,Marabá,do Entorno,1503,Marabá,do Entorno,,,,,,Centro Local,Centro Local,1503,Região Rural da Capital Regional de Marabá,Região Rural de Capital Regional,Sim,Não,Não,5910.501,635.37,3336.862,6673.214,16555.947,462.766,17018.713,2191.16
2002,1,Norte,15,PA,Pará,1501782,Breu Branco,,1506,Sudeste Paraense,15016,Tucuruí,150011,Tucuruí,do Entorno,1503,Marabá,do Entorno,,,,,,Centro Local,Centro Local,1503,Região Rural da Capital Regional de Marabá,Região Rural de Capital Regional,Sim,Não,Não,68687.299,34618.421,19424.368,30817.095,153547.183,5157.996,158705.179,4197.44
2002,1,Norte,15,PA,Pará,1501808,Breves,,1502,Marajó,15005,Furos de Breves,150020,Breves,Polo,1507,Breves,Polo,,,,,,Centro de Zona B,Centro de Zona,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,12670.685,51465.137,38822.659,63540.927,166499.409,10037.78,176537.188,2140.86
2002,1,Norte,15,PA,Pará,1501907,Bujaru,,1503,Metropolitana de Belém,15008,Castanhal,150001,Belém,do Entorno,1501,Belém,do Entorno,,,,,,Centro Local,Centro Local,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,49243.295,5514.289,10871.565,17564.885,83194.034,1552.329,84746.363,3681.74
2002,1,Norte,15,PA,Pará,1501956,Cachoeira do Piriá,,1504,Nordeste Paraense,15013,Guamá,150005,Bragança,do Entorno,1502,Castanhal,do Entorno,,,,,,Centro Local,Centro Local,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,8434.077,1874.42,3210.846,12980.869,26500.212,548.076,27048.288,1545.17
2002,1,Norte,15,PA,Pará,1502004,Cachoeira do Arari,,1502,Marajó,15006,Arari,150021,Soure-Salvaterra,do Entorno,1507,Breves,do Entorno,,,,,,Centro Local,Centro Local,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,15088.725,1010.866,3373.776,12724.78,32198.147,588.604,32786.751,1985.63
2002,1,Norte,15,PA,Pará,1502103,Cametá,,1504,Nordeste Paraense,15011,Cametá,150002,Cametá,Polo,1501,Belém,do Entorno,1502103.0,Cametá,Média concentração urbana,,,Centro Local,Centro Local,1502,Região Rural da Metrópole de Belém,Região Rural de Metrópole,Sim,Não,Não,94306.256,7158.191,39060.184,80130.735,220655.366,5519.124,226174.49,2235.01
2002,1,Norte,15,PA,Pará,1502152,Canaã dos Carajás,,1506,Sudeste Paraense,15019,Parauapebas,150010,Parauapebas,do Entorno,1503,Marabá,do Entorno,,,,,,Centro Local,Centro Local,1503,Região Rural da Capital Regional de Marabá,Região Rural de Capital Regional,Sim,Não,Não,14435.709,21177.969,9748.217,9884.098,55245.992,14610.54,69856.532,5788.58
