Ano,Código do Município,Nome do Município,"Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)","Produto Interno Bruto, 
a preços correntes
(R$ 1.000)","Valor adicionado bruto da Agropecuária, 
a preços correntes
(R$ 1.000)","Valor adicionado bruto da Indústria,
a preços correntes
(R$ 1.000)","Valor adicionado bruto dos Serviços,
a preços correntes 
- exceto Administração, defesa, educação e saúde públicas e seguridade social
(R$ 1.000)"
2002,1500107,Abaetetuba,1799.79,224354.001,38152.623,22444.443,67324.262
2002,1500131,Abel Figueiredo,5071.49,32523.449,16852.009,4661.209,4681.692
2002,1500206,Acará,3493.67,197105.776,111158.392,13695.719,24006.948
2002,1500305,Afuá,2644.58,85242.8,44061.346,5310.671,9737.425
2002,1500347,Água Azul do Norte,2274.43,60185.889,35420.352,1459.636,4327.824
2002,1500404,Alenquer,2459.79,100785.033,37956.907,4928.742,22480.87
2002,1500503,Almeirim,9776.71,333434.796,19581.812,160031.738,77650.245
2002,1500602,Altamira,3527.85,284447.394,49333.912,33123.617,108279.409
2002,1500701,Anajás,1752.43,34140.884,5513.27,5771.667,5596.168
2002,1500800,Ananindeua,3124.4,1356574.871,5300.306,268828.18,644206.499
2002,1500859,Anapu,3980.3,32829.489,15346.172,2981.41,5318.86
2002,1500909,Augusto Corrêa,1494.82,50499.649,14149.298,1847.068,7657.218
2002,1500958,Aurora do Pará,2908.53,63534.036,35794.944,3904.014,7883.002
2002,1501006,Aveiro,1091.86,18399.002,4043.61,427.823,1950.802
2002,1501105,Bagre,2044.93,27952.151,10346.128,1676.525,4014.721
2002,1501204,Baião,2558.9,54811.619,21662.105,4842.209,7628.9
2002,1501253,Bannach,7377.66,26640.743,18486.303,753.439,2702.464
2002,1501303,Barcarena,16804.79,1146809.585,26015.567,524762.927,337472.315
2002,1501402,Belém,5981.96,8004080.945,18304.509,1392452.341,4385050.82
2002,1501451,Belterra,1757.39,27740.439,9281.019,1824.007,4487.012
2002,1501501,Benevides,3767.18,148878.842,8048.23,20546.336,66947.246
2002,1501576,Bom Jesus do Tocantins,2298.68,31131.024,11060.027,2890.113,6147.213
2002,1501600,Bonito,1652.14,16822.078,5179.692,951.979,2510.97
2002,1501709,Bragança,1872.34,182841.379,40013.836,13248.075,55322.595
2002,1501725,Brasil Novo,2802.29,52744.685,27692.32,2239.764,7249.618
2002,1501758,Brejo Grande do Araguaia,2191.16,17018.713,5910.501,635.37,3336.862
2002,1501782,Breu Branco,4197.44,158705.179,68687.299,34618.421,19424.368
2002,1501808,Breves,2140.86,176537.188,12670.685,51465.137,38822.659
2002,1501907,Bujaru,3681.74,84746.363,49243.295,5514.289,10871.565
2002,1501956,Cachoeira do Piriá,1545.17,27048.288,8434.077,1874.42,3210.846
2002,1502004,Cachoeira do Arari,1985.63,32786.751,15088.725,1010.866,3373.776
2002,1502103,Cametá,2235.01,226174.49,94306.256,7158.191,39060.184
2002,1502152,Canaã dos Carajás,5788.58,69856.532,14435.709,21177.969,9748.217
2002,1502202,Capanema,3943.62,231999.056,6977.402,84131.236,73522.767
2002,1502301,Capitão Poço,1627.31,83007.244,24306.32,3768.582,18423.593
2002,1502400,Castanhal,3468.83,498848.932,18099.672,80538.592,239642.451
2002,1502509,Chaves,2174.3,37693.732,20878.629,895.572,2325.444
2002,1502608,Colares,1402.58,15836.517,3680.504,670.979,3039.26
2002,1502707,Conceição do Araguaia,2753.88,120537.477,28182.618,15745.237,40805.273
2002,1502756,Concórdia do Pará,1685.32,38081.396,9046.529,2082.234,8050.515
2002,1502764,Cumaru do Norte,6203.01,37633.634,26196.96,1889.139,3652.607
2002,1502772,Curionópolis,2277.54,39333.09,10434.612,2697.752,8460.123
2002,1502806,Curralinho,1391.31,29771.16,9302.891,804.083,3736.8
2002,1502855,Curuá,2257.38,21454.129,9475.68,913.049,2457.743
2002,1502905,Curuçá,1562.88,43424.508,14132.374,1531.742,8394.388
2002,1502939,Dom Eliseu,3307.28,145140.02,43276.982,31566.182,31112.892
2002,1502954,Eldorado do Carajás,1603.88,55842.311,9823.43,5438.522,11419.662
2002,1503002,Faro,1136.71,13620.112,1494.609,648.018,2193.308
2002,1503044,Floresta do Araguaia,3150.83,46301.38,17999.474,5299.213,7804.632
2002,1503077,Garrafão do Norte,1587.1,40148.994,10777.916,1861.956,6482.479
2002,1503093,Goianésia do Pará,2733.11,71142.881,8902.711,18178.42,16758.731
2002,1503101,Gurupá,1596.11,38759.836,14080.848,1210.045,5160.813
2002,1503200,Igarapé-Açu,1853.1,62751.437,17598.783,5304.1,13230.459
2002,1503309,Igarapé-Miri,1820.21,101376.626,27360.108,4777.226,18936.349
2002,1503408,Inhangapi,1991.78,15878.442,4952.543,1471.067,2575.775
2002,1503457,Ipixuna do Pará,3823.16,113509.636,43085.69,32086.467,14514.784
2002,1503507,Irituia,1544.84,46882.854,10353.722,2145.928,9245.266
2002,1503606,Itaituba,2722.43,259817.603,37488.431,27963.873,96215.083
2002,1503705,Itupiranga,1467.6,81755.735,17832.298,10287.943,13104.487
2002,1503754,Jacareacanga,1058.19,29805.102,3403.698,1373.112,4410.631
2002,1503804,Jacundá,2412.5,105151.136,6876.0,19851.632,33800.616
2002,1503903,Juruti,2079.2,69605.363,30703.34,2854.152,10562.449
2002,1504000,Limoeiro do Ajuru,3557.79,72760.291,50410.149,1005.603,4262.604
2002,1504059,Mãe do Rio,2120.82,51480.898,10402.121,2525.347,16113.798
2002,1504109,Magalhães Barata,1452.09,11321.908,2866.788,791.365,2014.784
2002,1504208,Marabá,4404.84,796210.954,25310.691,121940.329,383338.185
2002,1504307,Maracanã,1411.2,39716.897,11141.818,1616.627,6286.483
2002,1504406,Marapanim,1710.43,44553.198,10412.206,2275.368,10368.295
2002,1504422,Marituba,2996.11,254348.555,1412.634,98911.683,73529.15
2002,1504455,Medicilândia,6030.37,131860.112,85039.326,7937.281,19486.789
2002,1504505,Melgaço,1171.89,26880.825,5149.854,1152.636,2875.794
2002,1504604,Mocajuba,2126.1,44924.481,15634.218,1721.921,8620.324
2002,1504703,Moju,2147.97,121463.196,39604.12,9783.383,21286.96
2002,1504802,Monte Alegre,2220.31,140114.956,49445.03,6643.386,28561.96
2002,1504901,Muaná,1813.85,47807.617,19397.038,1723.824,5584.07
2002,1504950,Nova Esperança do Piriá,1311.83,29398.159,7478.133,1942.335,3951.995
2002,1504976,Nova Ipixuna,1645.36,21110.011,3969.176,2598.928,4030.273
2002,1505007,Nova Timboteua,1831.89,21935.091,5337.685,1248.355,5127.255
2002,1505031,Novo Progresso,2704.25,82490.495,18799.609,20023.533,17162.58
2002,1505064,Novo Repartimento,2335.46,106564.498,29952.282,11004.587,20019.582
2002,1505106,Óbidos,2751.78,131235.12,54476.78,10789.587,25669.137
