year,areakm,municipality,geocode_ibge,state,FullLocation,Ano,Código do Município,Nome do Município,"Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)"
2008,1.2424613960392064,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",2008.0,1500107.0,Abaetetuba,3325.16
2009,2.989673967114268,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",2009.0,1500107.0,Abaetetuba,3642.24
2010,3.82898298840546,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",2010.0,1500107.0,Abaetetuba,4138.79
2011,0.8320869368751692,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",2011.0,1500107.0,Abaetetuba,4971.7
2012,2.240917804544368,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",2012.0,1500107.0,Abaetetuba,5526.11
2013,0.4211711114951701,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",2013.0,1500107.0,Abaetetuba,6053.14
2014,0.2439393881625319,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",2014.0,1500107.0,Abaetetuba,7097.05
2015,0.5861482650246084,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",2015.0,1500107.0,Abaetetuba,7927.59
2016,0.3856690067861612,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",2016.0,1500107.0,Abaetetuba,8205.13
2017,1.178923414086653,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",2017.0,1500107.0,Abaetetuba,8719.21
2018,0.6396519103752514,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",2018.0,1500107.0,Abaetetuba,9044.08
2019,0.3401230771782639,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",2019.0,1500107.0,Abaetetuba,9458.72
2020,1.224493410799275,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",2020.0,1500107.0,Abaetetuba,10433.07
2021,1.6968263946206572,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",2021.0,1500107.0,Abaetetuba,12150.04
2022,0.4069212888686356,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",,,,
2023,0.3144634821173946,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",,,,
2024,0.5648192609955512,Abaetetuba,1500107,Pará,"Abaetetuba, Pará, Brazil",,,,
2008,2.0430416513672123,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",2008.0,1500131.0,Abel Figueiredo,6564.91
2009,1.0405524217900506,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",2009.0,1500131.0,Abel Figueiredo,7458.48
2010,1.7377752785551128,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",2010.0,1500131.0,Abel Figueiredo,7891.45
2011,0.4365702380566971,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",2011.0,1500131.0,Abel Figueiredo,9319.84
2012,0.0,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",2012.0,1500131.0,Abel Figueiredo,6419.65
2013,0.3560808950352158,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",2013.0,1500131.0,Abel Figueiredo,8209.5
2014,0.4211885291934384,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",2014.0,1500131.0,Abel Figueiredo,9812.22
2015,0.1644385884062416,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",2015.0,1500131.0,Abel Figueiredo,9345.95
2016,0.5040841573761293,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",2016.0,1500131.0,Abel Figueiredo,10683.76
2017,0.2402553422768378,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",2017.0,1500131.0,Abel Figueiredo,11151.02
2018,0.9512147374066928,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",2018.0,1500131.0,Abel Figueiredo,11133.31
2019,4.153506027498901,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",2019.0,1500131.0,Abel Figueiredo,11420.76
2020,1.213128051320839,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",2020.0,1500131.0,Abel Figueiredo,12805.61
2021,2.072079952766948,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",2021.0,1500131.0,Abel Figueiredo,13998.91
2022,2.7259403528643067,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",,,,
2023,1.53300483646723,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",,,,
2024,0.1749114187925102,Abel Figueiredo,1500131,Pará,"Abel Figueiredo, Pará, Brazil",,,,
2008,47.75979073352992,Acará,1500206,Pará,"Acará, Pará, Brazil",2008.0,1500206.0,Acará,7213.16
2009,11.895465461223644,Acará,1500206,Pará,"Acará, Pará, Brazil",2009.0,1500206.0,Acará,8636.02
2010,30.159612138842373,Acará,1500206,Pará,"Acará, Pará, Brazil",2010.0,1500206.0,Acará,8222.51
2011,15.00688320817623,Acará,1500206,Pará,"Acará, Pará, Brazil",2011.0,1500206.0,Acará,9383.67
2012,4.814033032697277,Acará,1500206,Pará,"Acará, Pará, Brazil",2012.0,1500206.0,Acará,9424.51
2013,18.270716486079618,Acará,1500206,Pará,"Acará, Pará, Brazil",2013.0,1500206.0,Acará,16132.13
2014,5.834379091348468,Acará,1500206,Pará,"Acará, Pará, Brazil",2014.0,1500206.0,Acará,10680.63
2015,7.007347264517175,Acará,1500206,Pará,"Acará, Pará, Brazil",2015.0,1500206.0,Acará,11854.28
2016,7.2124247535574435,Acará,1500206,Pará,"Acará, Pará, Brazil",2016.0,1500206.0,Acará,14594.52
2017,18.538495417554365,Acará,1500206,Pará,"Acará, Pará, Brazil",2017.0,1500206.0,Acará,17231.86
2018,16.741240950348107,Acará,1500206,Pará,"Acará, Pará, Brazil",2018.0,1500206.0,Acará,16463.75
2019,18.166062982018424,Acará,1500206,Pará,"Acará, Pará, Brazil",2019.0,1500206.0,Acará,13582.97
2020,15.66707660532316,Acará,1500206,Pará,"Acará, Pará, Brazil",2020.0,1500206.0,Acará,15840.27
2021,10.31394480495364,Acará,1500206,Pará,"Acará, Pará, Brazil",2021.0,1500206.0,Acará,25714.69
2022,5.708188704906543,Acará,1500206,Pará,"Acará, Pará, Brazil",,,,
2023,8.364741384960636,Acará,1500206,Pará,"Acará, Pará, Brazil",,,,
2024,12.631878651278807,Acará,1500206,Pará,"Acará, Pará, Brazil",,,,
2008,0.1335821939953553,Afuá,1500305,Pará,"Afuá, Pará, Brazil",2008.0,1500305.0,Afuá,3741.1
2009,0.0,Afuá,1500305,Pará,"Afuá, Pará, Brazil",2009.0,1500305.0,Afuá,4103.26
2010,1.7319582073245856,Afuá,1500305,Pará,"Afuá, Pará, Brazil",2010.0,1500305.0,Afuá,4606.14
2011,0.0,Afuá,1500305,Pará,"Afuá, Pará, Brazil",2011.0,1500305.0,Afuá,5382.63
2012,0.1505112159860355,Afuá,1500305,Pará,"Afuá, Pará, Brazil",2012.0,1500305.0,Afuá,6472.82
2013,0.073927829519938,Afuá,1500305,Pará,"Afuá, Pará, Brazil",2013.0,1500305.0,Afuá,7164.71
2014,0.1718992149488081,Afuá,1500305,Pará,"Afuá, Pará, Brazil",2014.0,1500305.0,Afuá,8142.71
2015,0.0,Afuá,1500305,Pará,"Afuá, Pará, Brazil",2015.0,1500305.0,Afuá,8689.28
2016,0.0,Afuá,1500305,Pará,"Afuá, Pará, Brazil",2016.0,1500305.0,Afuá,8425.96
2017,0.1205471720891121,Afuá,1500305,Pará,"Afuá, Pará, Brazil",2017.0,1500305.0,Afuá,9392.59
2018,0.0,Afuá,1500305,Pará,"Afuá, Pará, Brazil",2018.0,1500305.0,Afuá,9204.29
2019,0.1078024793249266,Afuá,1500305,Pará,"Afuá, Pará, Brazil",2019.0,1500305.0,Afuá,9405.7
2020,0.0,Afuá,1500305,Pará,"Afuá, Pará, Brazil",2020.0,1500305.0,Afuá,11084.53
2021,0.0,Afuá,1500305,Pará,"Afuá, Pará, Brazil",2021.0,1500305.0,Afuá,11130.94
2022,0.1646513047652343,Afuá,1500305,Pará,"Afuá, Pará, Brazil",,,,
2023,0.2720332688113031,Afuá,1500305,Pará,"Afuá, Pará, Brazil",,,,
2024,0.0,Afuá,1500305,Pará,"Afuá, Pará, Brazil",,,,
2008,39.557240452888806,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",2008.0,1500404.0,Alenquer,3844.66
2009,18.50562281987502,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",2009.0,1500404.0,Alenquer,4719.95
2010,27.531522311243407,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",2010.0,1500404.0,Alenquer,6863.69
2011,21.86844533365137,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",2011.0,1500404.0,Alenquer,6805.39
2012,14.859315120477248,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",2012.0,1500404.0,Alenquer,6828.77
2013,17.811671755966405,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",2013.0,1500404.0,Alenquer,10366.5
2014,16.442435610656066,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",2014.0,1500404.0,Alenquer,9784.96
2015,15.128995050669172,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",2015.0,1500404.0,Alenquer,9487.57
2016,16.199661403271964,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",2016.0,1500404.0,Alenquer,12017.42
2017,27.468203761223485,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",2017.0,1500404.0,Alenquer,11028.03
2018,22.030701155927137,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",2018.0,1500404.0,Alenquer,10032.18
2019,19.838942749745648,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",2019.0,1500404.0,Alenquer,10091.01
2020,32.85926484235845,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",2020.0,1500404.0,Alenquer,12127.74
2021,31.91596844590526,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",2021.0,1500404.0,Alenquer,12988.38
2022,29.035255061866064,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",,,,
2023,22.290819892761697,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",,,,
2024,34.894175607133285,Alenquer,1500404,Pará,"Alenquer, Pará, Brazil",,,,
2008,59.026652078557454,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2008.0,1500503.0,Almeirim,17039.54
2009,23.34307615993181,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2009.0,1500503.0,Almeirim,12177.94
2010,38.54389291374376,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2010.0,1500503.0,Almeirim,17135.52
2011,6.486189809948875,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2011.0,1500503.0,Almeirim,15715.71
2012,19.48644721676855,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2012.0,1500503.0,Almeirim,13931.14
2013,9.176219814073836,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2013.0,1500503.0,Almeirim,13554.56
2014,23.47965219949605,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2014.0,1500503.0,Almeirim,15025.6
2015,12.138711951041724,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2015.0,1500503.0,Almeirim,14243.78
2016,14.965068575314394,Almeirim,1500503,Pará,"Almeirim, Pará, Brazil",2016.0,1500503.0,Almeirim,17736.18
