year;areakm;municipality;geocode_ibge;state;FullLocation;"Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)";"Produto Interno Bruto, 
a preços correntes
(R$ 1.000)";"Valor adicionado bruto da Agropecuária, 
a preços correntes
(R$ 1.000)";"Valor adicionado bruto da Indústria,
a preços correntes
(R$ 1.000)";"Valor adicionado bruto dos Serviços,
a preços correntes 
- exceto Administração, defesa, educação e saúde públicas e seguridade social
(R$ 1.000)"
2008;1.2424613960392064;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;3325.16;458888.698;52808.707;44176.937;152107.257
2009;2.989673967114268;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;3642.24;509254.347;62031.902;30267.128;174853.634
2010;3.82898298840546;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;4138.79;583793.453;71932.591;31239.975;201654.938
2011;0.8320869368751692;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;4971.7;709883.606;88434.834;44167.308;247545.097
2012;2.240917804544368;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;5526.11;798053.279;115890.035;36469.75;276895.196
2013;0.4211711114951701;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;6053.14;891428.35;136078.479;37866.697;300364.009
2014;0.2439393881625319;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;7097.05;1056559.278;125398.044;60020.825;391208.633
2015;0.5861482650246084;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;7927.59;1192555.065;148359.975;62859.365;440295.935
2016;0.3856690067861612;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;8205.13;1246638.758;140528.923;58485.214;464340.38
2017;1.178923414086653;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;8719.21;1337352.842;168016.036;64818.451;478637.782
2018;0.6396519103752514;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;9044.08;1413516.711;160292.733;65828.358;525132.662
2019;0.3401230771782639;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;9458.72;1491621.046;147546.877;66557.335;553785.279
2020;1.224493410799275;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;10433.07;1659692.605;234488.21;66174.17;576005.12
2021;1.6968263946206572;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;12150.04;1949340.721;272103.456;73666.588;754254.4
2022;0.4069212888686356;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;;;;;
2023;0.3144634821173946;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;;;;;
2024;0.5648192609955512;Abaetetuba;1500107;Pará;Abaetetuba, Pará, Brazil;;;;;
2008;2.0430416513672123;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;6564.91;45160.036;18143.108;4263.391;9869.403
2009;1.0405524217900506;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;7458.48;51963.224;20885.603;4074.682;11093.949
2010;1.7377752785551128;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;7891.45;53598.698;22231.703;3926.601;10937.579
2011;0.4365702380566971;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;9319.84;63784.969;26422.762;5032.884;12625.007
2012;0.0;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;6419.65;44327.649;11595.816;-409.973;11582.101
2013;0.3560808950352158;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;8209.5;57573.198;16235.733;3695.0;13854.693
2014;0.4211885291934384;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;9812.22;69372.424;18932.546;6451.742;17373.387
2015;0.1644385884062416;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;9345.95;66599.268;14380.631;4832.833;18366.415
2016;0.5040841573761293;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;10683.76;76698.732;21381.586;5167.861;19998.497
2017;0.2402553422768378;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;11151.02;80633.033;19371.164;6029.019;20834.072
2018;0.9512147374066928;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;11133.31;82186.104;15504.984;6955.116;23323.552
2019;4.153506027498901;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;11420.76;84901.897;15163.719;6968.743;23935.216
2020;1.213128051320839;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;12805.61;95862.819;22317.457;10048.313;22602.158
2021;2.072079952766948;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;13998.91;105495.794;27211.225;9397.097;24595.188
2022;2.7259403528643067;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;;;;;
2023;1.53300483646723;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;;;;;
2024;0.1749114187925102;Abel Figueiredo;1500131;Pará;Abel Figueiredo, Pará, Brazil;;;;;
2008;47.75979073352992;Acará;1500206;Pará;Acará, Pará, Brazil;7213.16;352564.645;195910.797;24941.467;46074.198
2009;11.895465461223644;Acará;1500206;Pará;Acará, Pará, Brazil;8636.02;418855.538;239965.94;23514.532;54512.96
2010;30.159612138842373;Acará;1500206;Pará;Acará, Pará, Brazil;8222.51;440767.452;225732.825;47125.179;51364.283
2011;15.00688320817623;Acará;1500206;Pará;Acará, Pará, Brazil;9383.67;503715.618;257776.304;51158.86;57573.825
2012;4.814033032697277;Acará;1500206;Pará;Acará, Pará, Brazil;9424.51;506916.139;267160.635;18635.069;62985.36
2013;18.270716486079618;Acará;1500206;Pará;Acará, Pará, Brazil;16132.13;871618.819;571897.537;48243.114;87444.705
2014;5.834379091348468;Acará;1500206;Pará;Acará, Pará, Brazil;10680.63;577255.915;296398.976;31462.211;76629.295
2015;7.007347264517175;Acará;1500206;Pará;Acará, Pará, Brazil;11854.28;640889.762;316523.345;40395.864;84929.112
2016;7.2124247535574435;Acará;1500206;Pará;Acará, Pará, Brazil;14594.52;789271.492;441329.642;43974.109;97243.264
2017;18.538495417554365;Acará;1500206;Pará;Acará, Pará, Brazil;17231.86;932174.739;541087.593;43286.345;109661.312
2018;16.741240950348107;Acará;1500206;Pará;Acará, Pará, Brazil;16463.75;913952.266;495212.001;41081.691;119977.452
2019;18.166062982018424;Acará;1500206;Pará;Acará, Pará, Brazil;13582.97;755091.101;330925.852;32208.124;110136.515
2020;15.66707660532316;Acará;1500206;Pará;Acará, Pará, Brazil;15840.27;881811.757;429718.795;32174.429;105076.794
2021;10.31394480495364;Acará;1500206;Pará;Acará, Pará, Brazil;25714.69;1433439.844;904959.242;58507.483;130361.031
2022;5.708188704906543;Acará;1500206;Pará;Acará, Pará, Brazil;;;;;
2023;8.364741384960636;Acará;1500206;Pará;Acará, Pará, Brazil;;;;;
2024;12.631878651278807;Acará;1500206;Pará;Acará, Pará, Brazil;;;;;
2008;0.1335821939953553;Afuá;1500305;Pará;Afuá, Pará, Brazil;3741.1;121091.996;41936.739;6294.025;16933.455
2009;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil;4103.26;133901.619;47784.29;5745.434;18899.867
2010;1.7319582073245856;Afuá;1500305;Pará;Afuá, Pará, Brazil;4606.14;161293.159;55457.345;9664.908;20205.317
2011;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil;5382.63;190905.603;63356.364;13032.06;23857.044
2012;0.1505112159860355;Afuá;1500305;Pará;Afuá, Pará, Brazil;6472.82;232238.184;70605.269;23709.305;29479.328
2013;0.073927829519938;Afuá;1500305;Pará;Afuá, Pará, Brazil;7164.71;262214.121;91093.099;18400.329;32058.354
2014;0.1718992149488081;Afuá;1500305;Pará;Afuá, Pará, Brazil;8142.71;301312.726;107846.218;21485.015;37298.348
2015;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil;8689.28;324961.852;118390.499;25094.212;39791.913
2016;0.0;Afuá;1500305;Pará;Afuá, Pará, Brazil;8425.96;318316.082;109613.655;18038.353;41330.469
