Município,Ano,Área plantada (ha)
Abaetetuba,2008,50
Abaetetuba,2009,50
Abaetetuba,2010,80
Abaetetuba,2011,100
Abaetetuba,2012,150
Abaetetuba,2013,150
Abaetetuba,2014,120
Abaetetuba,2015,120
Abaetetuba,2016,90
Abaetetuba,2017,50
Abaetetuba,2018,90
Abaetetuba,2019,90
Abaetetuba,2020,90
Abaetetuba,2021,90
Abaetetuba,2022,90
Abaetetuba,2023,90
Abel Figueiredo,2008,890
Abel Figueiredo,2009,770
Abel Figueiredo,2010,920
Abel Figueiredo,2011,1260
Abel Figueiredo,2012,1350
Abel Figueiredo,2013,1360
Abel Figueiredo,2014,360
Abel Figueiredo,2015,400
Abel Figueiredo,2016,340
Abel Figueiredo,2017,350
Abel Figueiredo,2018,385
Abel Figueiredo,2019,120
Abel Figueiredo,2020,200
Abel Figueiredo,2021,210
Abel Figueiredo,2022,210
Abel Figueiredo,2023,210
Acará,2008,300
Acará,2009,300
Acará,2010,300
Acará,2011,300
Acará,2012,300
Acará,2013,500
Acará,2014,300
Acará,2015,300
Acará,2016,30
Acará,2017,50
Acará,2018,50
Acará,2019,50
Acará,2020,50
Acará,2021,50
Acará,2022,50
Acará,2023,50
Afuá,2008,0
Afuá,2009,0
Afuá,2010,0
Afuá,2011,0
Afuá,2012,0
Afuá,2013,0
Afuá,2014,0
Afuá,2015,0
Afuá,2016,0
Afuá,2017,0
Afuá,2018,0
Afuá,2019,0
Afuá,2020,0
Afuá,2021,0
Afuá,2022,0
Afuá,2023,0
Alenquer,2008,3600
Alenquer,2009,3600
Alenquer,2010,3500
Alenquer,2011,3500
Alenquer,2012,3500
Alenquer,2013,4800
Alenquer,2014,5000
Alenquer,2015,3000
Alenquer,2016,3000
Alenquer,2017,3000
Alenquer,2018,3000
Alenquer,2019,3000
Alenquer,2020,3000
Alenquer,2021,3000
Alenquer,2022,3000
Alenquer,2023,2000
Almeirim,2008,160
Almeirim,2009,160
Almeirim,2010,20
Almeirim,2011,28
Almeirim,2012,90
Almeirim,2013,95
Almeirim,2014,95
Almeirim,2015,150
Almeirim,2016,150
Almeirim,2017,100
Almeirim,2018,100
Almeirim,2019,100
Almeirim,2020,95
Almeirim,2021,95
Almeirim,2022,75
Almeirim,2023,95
Altamira,2008,2600
Altamira,2009,2175
Altamira,2010,2175
Altamira,2011,2400
Altamira,2012,2400
Altamira,2013,2400
Altamira,2014,1300
Altamira,2015,1300
Altamira,2016,1300
Altamira,2017,1500
Altamira,2018,1500
Altamira,2019,10000
Altamira,2020,10000
Altamira,2021,10500
Altamira,2022,10500
Altamira,2023,10500
Anajás,2008,80
Anajás,2009,80
Anajás,2010,80
Anajás,2011,50
Anajás,2012,0
Anajás,2013,0
Anajás,2014,0
Anajás,2015,0
Anajás,2016,0
Anajás,2017,0
Anajás,2018,0
Anajás,2019,0
Anajás,2020,0
Anajás,2021,0
Anajás,2022,0
Anajás,2023,0
Anapu,2008,1510
Anapu,2009,790
Anapu,2010,1000
Anapu,2011,1000
Anapu,2012,1200
Anapu,2013,1200
Anapu,2014,800
Anapu,2015,500
Anapu,2016,600
Anapu,2017,700
Anapu,2018,700
Anapu,2019,700
Anapu,2020,700
Anapu,2021,800
Anapu,2022,1000
Anapu,2023,1000
Augusto Corrêa,2008,243
Augusto Corrêa,2009,240
Augusto Corrêa,2010,260
Augusto Corrêa,2011,150
Augusto Corrêa,2012,200
Augusto Corrêa,2013,185
Augusto Corrêa,2014,170
