Município,Ano,Área plantada (ha)
Abaetetuba,2008,0
Abaetetuba,2009,0
Abaetetuba,2010,0
Abaetetuba,2011,0
Abaetetuba,2012,0
Abaetetuba,2013,0
Abaetetuba,2014,0
Abaetetuba,2015,0
Abaetetuba,2016,0
Abaetetuba,2017,0
Abaetetuba,2018,0
Abaetetuba,2019,0
Abaetetuba,2020,0
Abaetetuba,2021,0
Abaetetuba,2022,0
Abaetetuba,2023,0
Abel Figueiredo,2008,0
Abel Figueiredo,2009,0
Abel Figueiredo,2010,0
Abel Figueiredo,2011,0
Abel Figueiredo,2012,0
Abel Figueiredo,2013,0
Abel Figueiredo,2014,0
Abel Figueiredo,2015,0
Abel Figueiredo,2016,50
Abel Figueiredo,2017,55
Abel Figueiredo,2018,60
Abel Figueiredo,2019,4000
Abel Figueiredo,2020,5500
Abel Figueiredo,2021,5600
Abel Figueiredo,2022,5600
Abel Figueiredo,2023,5600
Acará,2008,0
Acará,2009,0
Acará,2010,0
Acará,2011,0
Acará,2012,0
Acará,2013,0
Acará,2014,0
Acará,2015,0
Acará,2016,0
Acará,2017,0
Acará,2018,0
Acará,2019,0
Acará,2020,0
Acará,2021,0
Acará,2022,0
Acará,2023,0
Afuá,2008,0
Afuá,2009,0
Afuá,2010,0
Afuá,2011,0
Afuá,2012,0
Afuá,2013,0
Afuá,2014,0
Afuá,2015,0
Afuá,2016,0
Afuá,2017,0
Afuá,2018,0
Afuá,2019,0
Afuá,2020,0
Afuá,2021,0
Afuá,2022,0
Afuá,2023,0
Alenquer,2008,0
Alenquer,2009,0
Alenquer,2010,0
Alenquer,2011,0
Alenquer,2012,0
Alenquer,2013,0
Alenquer,2014,0
Alenquer,2015,0
Alenquer,2016,0
Alenquer,2017,0
Alenquer,2018,0
Alenquer,2019,0
Alenquer,2020,0
Alenquer,2021,0
Alenquer,2022,0
Alenquer,2023,0
Almeirim,2008,0
Almeirim,2009,0
Almeirim,2010,0
Almeirim,2011,0
Almeirim,2012,0
Almeirim,2013,0
Almeirim,2014,0
Almeirim,2015,0
Almeirim,2016,0
Almeirim,2017,0
Almeirim,2018,0
Almeirim,2019,0
Almeirim,2020,0
Almeirim,2021,0
Almeirim,2022,0
Almeirim,2023,0
Altamira,2008,60
Altamira,2009,250
Altamira,2010,250
Altamira,2011,250
Altamira,2012,250
Altamira,2013,250
Altamira,2014,800
Altamira,2015,3837
Altamira,2016,1500
Altamira,2017,2000
Altamira,2018,2000
Altamira,2019,15000
Altamira,2020,14000
Altamira,2021,14000
Altamira,2022,14000
Altamira,2023,14000
Anajás,2008,0
Anajás,2009,0
Anajás,2010,0
Anajás,2011,0
Anajás,2012,0
Anajás,2013,0
Anajás,2014,0
Anajás,2015,0
Anajás,2016,0
Anajás,2017,0
Anajás,2018,0
Anajás,2019,0
Anajás,2020,0
Anajás,2021,0
Anajás,2022,0
Anajás,2023,0
Ananindeua,2008,0
Ananindeua,2009,0
Ananindeua,2010,0
Ananindeua,2011,0
Ananindeua,2012,0
Ananindeua,2013,0
Ananindeua,2014,0
Ananindeua,2015,0
Ananindeua,2016,0
Ananindeua,2017,0
Ananindeua,2018,0
Ananindeua,2019,0
Ananindeua,2020,0
Ananindeua,2021,0
Ananindeua,2022,0
Ananindeua,2023,0
Anapu,2008,0
Anapu,2009,0
Anapu,2010,0
Anapu,2011,0
Anapu,2012,0
Anapu,2013,0
Anapu,2014,0
Anapu,2015,0
Anapu,2016,0
Anapu,2017,0
Anapu,2018,0
Anapu,2019,0
Anapu,2020,0
Anapu,2021,0
Anapu,2022,0
Anapu,2023,0
Augusto Corrêa,2008,0
Augusto Corrêa,2009,0
Augusto Corrêa,2010,0
Augusto Corrêa,2011,0
Augusto Corrêa,2012,0
Augusto Corrêa,2013,0
Augusto Corrêa,2014,20
Augusto Corrêa,2015,0
Augusto Corrêa,2016,0
Augusto Corrêa,2017,0
Augusto Corrêa,2018,0
Augusto Corrêa,2019,0
Augusto Corrêa,2020,0
Augusto Corrêa,2021,0
Augusto Corrêa,2022,0
Augusto Corrêa,2023,0
Aurora do Pará,2008,0
Aurora do Pará,2009,0
Aurora do Pará,2010,0
