municipio,Ano,focos
ABAETETUBA,2008,194
ABAETETUBA,2009,190
ABAETETUBA,2010,162
ABAETETUBA,2011,130
ABAETETUBA,2012,153
ABAETETUBA,2013,169
ABAETETUBA,2014,121
ABAETETUBA,2015,128
ABAETETUBA,2016,166
ABAETETUBA,2017,168
ABAETETUBA,2018,75
ABAETETUBA,2019,71
ABAETETUBA,2020,106
ABAETETUBA,2021,55
ABAETETUBA,2022,72
ABAETETUBA,2023,97
ABAETETUBA,2024,71
ABEL FIGUEIREDO,2008,35
ABEL FIGUEIREDO,2009,29
ABEL FIGUEIREDO,2010,32
ABEL FIGUEIREDO,2011,26
ABEL FIGUEIREDO,2012,35
ABEL FIGUEIREDO,2013,8
ABEL FIGUEIREDO,2014,60
ABEL FIGUEIREDO,2015,35
ABEL FIGUEIREDO,2016,20
ABEL FIGUEIREDO,2017,32
ABEL FIGUEIREDO,2018,31
ABEL FIGUEIREDO,2019,29
ABEL FIGUEIREDO,2020,33
ABEL FIGUEIREDO,2021,22
ABEL FIGUEIREDO,2022,33
ABEL FIGUEIREDO,2023,44
ABEL FIGUEIREDO,2024,38
ACARÁ,2008,974
ACARÁ,2009,957
ACARÁ,2010,869
ACARÁ,2011,612
ACARÁ,2012,738
ACARÁ,2013,634
ACARÁ,2014,539
ACARÁ,2015,639
ACARÁ,2016,752
ACARÁ,2017,761
ACARÁ,2018,441
ACARÁ,2019,402
ACARÁ,2020,591
ACARÁ,2021,328
ACARÁ,2022,441
ACARÁ,2023,749
ACARÁ,2024,666
AFUÁ,2008,9
AFUÁ,2009,8
AFUÁ,2010,4
AFUÁ,2011,7
AFUÁ,2012,10
AFUÁ,2013,3
AFUÁ,2014,4
AFUÁ,2015,19
AFUÁ,2016,16
AFUÁ,2017,13
AFUÁ,2018,5
AFUÁ,2019,1
AFUÁ,2020,6
AFUÁ,2021,1
AFUÁ,2023,13
AFUÁ,2024,49
ALENQUER,2008,399
ALENQUER,2009,703
ALENQUER,2010,291
ALENQUER,2011,303
ALENQUER,2012,497
ALENQUER,2013,396
ALENQUER,2014,536
ALENQUER,2015,705
ALENQUER,2016,515
ALENQUER,2017,592
ALENQUER,2018,276
ALENQUER,2019,279
ALENQUER,2020,313
ALENQUER,2021,223
ALENQUER,2022,327
ALENQUER,2023,787
ALENQUER,2024,479
ALMEIRIM,2008,390
ALMEIRIM,2009,473
ALMEIRIM,2010,298
ALMEIRIM,2011,315
ALMEIRIM,2012,297
ALMEIRIM,2013,244
ALMEIRIM,2014,381
ALMEIRIM,2015,565
ALMEIRIM,2016,451
ALMEIRIM,2017,481
ALMEIRIM,2018,183
ALMEIRIM,2019,236
ALMEIRIM,2020,136
ALMEIRIM,2021,189
ALMEIRIM,2022,291
ALMEIRIM,2023,658
ALMEIRIM,2024,715
ALTAMIRA,2008,2675
ALTAMIRA,2009,1937
ALTAMIRA,2010,3781
ALTAMIRA,2011,1448
ALTAMIRA,2012,2884
ALTAMIRA,2013,947
ALTAMIRA,2014,2616
ALTAMIRA,2015,3036
ALTAMIRA,2016,1951
ALTAMIRA,2017,4502
ALTAMIRA,2018,1803
ALTAMIRA,2019,3803
ALTAMIRA,2020,4865
ALTAMIRA,2021,2934
ALTAMIRA,2022,5041
ALTAMIRA,2023,3553
ALTAMIRA,2024,5996
ANAJÁS,2008,7
ANAJÁS,2009,41
ANAJÁS,2010,8
ANAJÁS,2011,11
ANAJÁS,2012,20
ANAJÁS,2013,9
ANAJÁS,2014,5
ANAJÁS,2015,73
ANAJÁS,2016,38
ANAJÁS,2017,14
ANAJÁS,2018,6
ANAJÁS,2019,9
ANAJÁS,2020,7
ANAJÁS,2021,1
ANAJÁS,2022,2
ANAJÁS,2023,6
ANAJÁS,2024,22
ANANINDEUA,2008,3
ANANINDEUA,2009,1
ANANINDEUA,2011,1
ANANINDEUA,2014,1
ANANINDEUA,2015,1
ANANINDEUA,2017,1
ANANINDEUA,2020,1
ANANINDEUA,2023,1
ANAPU,2008,476
ANAPU,2009,655
ANAPU,2010,455
ANAPU,2011,291
ANAPU,2012,324
ANAPU,2013,195
ANAPU,2014,477
ANAPU,2015,568
ANAPU,2016,402
ANAPU,2017,584
ANAPU,2018,473
ANAPU,2019,380
ANAPU,2020,459
ANAPU,2021,346
ANAPU,2022,678
ANAPU,2023,837
ANAPU,2024,596
AUGUSTO CORRÊA,2008,142
AUGUSTO CORRÊA,2009,36
AUGUSTO CORRÊA,2010,90
AUGUSTO CORRÊA,2011,47
AUGUSTO CORRÊA,2012,72
AUGUSTO CORRÊA,2013,68
AUGUSTO CORRÊA,2014,54
AUGUSTO CORRÊA,2015,35
AUGUSTO CORRÊA,2016,62
AUGUSTO CORRÊA,2017,45
AUGUSTO CORRÊA,2018,18
AUGUSTO CORRÊA,2019,42
AUGUSTO CORRÊA,2020,44
AUGUSTO CORRÊA,2021,54
AUGUSTO CORRÊA,2022,83
