Município,Ano,Total Rebanho (Bovino)
Abaetetuba,2008,4194
Abaetetuba,2009,3438
Abaetetuba,2010,2263
Abaetetuba,2011,1527
Abaetetuba,2012,1859
Abaetetuba,2013,1858
Abaetetuba,2014,1700
Abaetetuba,2015,19086
Abaetetuba,2016,2408
Abaetetuba,2017,2800
Abaetetuba,2018,3100
Abaetetuba,2019,2800
Abaetetuba,2020,3100
Abaetetuba,2021,3500
Abaetetuba,2022,3800
Abaetetuba,2023,4500
Abel Figueiredo,2008,58328
Abel Figueiredo,2009,52498
Abel Figueiredo,2010,48198
Abel Figueiredo,2011,44422
Abel Figueiredo,2012,46000
Abel Figueiredo,2013,54531
Abel Figueiredo,2014,57517
Abel Figueiredo,2015,54195
Abel Figueiredo,2016,45934
Abel Figueiredo,2017,46364
Abel Figueiredo,2018,45025
Abel Figueiredo,2019,50371
Abel Figueiredo,2020,49300
Abel Figueiredo,2021,45670
Abel Figueiredo,2022,46200
Abel Figueiredo,2023,50800
Acará,2008,25000
Acará,2009,26000
Acará,2010,21480
Acará,2011,11689
Acará,2012,6372
Acará,2013,10085
Acará,2014,10948
Acará,2015,11982
Acará,2016,10546
Acará,2017,10740
Acará,2018,19741
Acará,2019,19700
Acará,2020,12179
Acará,2021,15184
Acará,2022,15674
Acará,2023,18099
Afuá,2008,3800
Afuá,2009,4200
Afuá,2010,4280
Afuá,2011,4350
Afuá,2012,4410
Afuá,2013,1904
Afuá,2014,2105
Afuá,2015,2364
Afuá,2016,1547
Afuá,2017,1571
Afuá,2018,1515
Afuá,2019,1639
Afuá,2020,1761
Afuá,2021,1842
Afuá,2022,1505
Afuá,2023,1482
Alenquer,2008,112400
Alenquer,2009,147352
Alenquer,2010,170396
Alenquer,2011,166052
Alenquer,2012,160908
Alenquer,2013,168444
Alenquer,2014,191140
Alenquer,2015,189902
Alenquer,2016,190903
Alenquer,2017,188400
Alenquer,2018,213741
Alenquer,2019,205369
Alenquer,2020,224431
Alenquer,2021,237509
Alenquer,2022,224431
Alenquer,2023,263592
Almeirim,2008,33108
Almeirim,2009,34763
Almeirim,2010,36501
Almeirim,2011,38326
Almeirim,2012,39475
Almeirim,2013,25312
Almeirim,2014,24124
Almeirim,2015,21853
Almeirim,2016,21100
Almeirim,2017,23414
Almeirim,2018,28110
Almeirim,2019,28672
Almeirim,2020,26092
Almeirim,2021,26966
Almeirim,2022,26092
Almeirim,2023,26966
Altamira,2008,399512
Altamira,2009,413625
Altamira,2010,555324
Altamira,2011,688901
Altamira,2012,668541
Altamira,2013,711028
Altamira,2014,687535
Altamira,2015,628481
Altamira,2016,657436
Altamira,2017,656430
Altamira,2018,707958
Altamira,2019,759451
Altamira,2020,797254
Altamira,2021,904271
Altamira,2022,1003968
Altamira,2023,1079168
Anajás,2008,700
Anajás,2009,820
Anajás,2010,858
Anajás,2011,860
Anajás,2012,910
Anajás,2013,990
Anajás,2014,1024
Anajás,2015,970
Anajás,2016,950
Anajás,2017,960
Anajás,2018,1610
Anajás,2019,1640
Anajás,2020,1560
Anajás,2021,1310
Anajás,2022,1230
Anajás,2023,1050
Ananindeua,2008,200
Ananindeua,2009,260
Ananindeua,2010,240
Ananindeua,2011,250
Ananindeua,2012,146
Ananindeua,2013,180
Ananindeua,2014,34
Ananindeua,2015,124
Ananindeua,2016,85
Ananindeua,2017,78
Ananindeua,2018,102
Ananindeua,2019,81
Ananindeua,2020,34
Ananindeua,2021,50
Ananindeua,2022,22
Ananindeua,2023,20
Anapu,2008,175384
Anapu,2009,177857
Anapu,2010,171721
Anapu,2011,175023
Anapu,2012,225093
Anapu,2013,270460
Anapu,2014,262642
Anapu,2015,251681
Anapu,2016,267860
Anapu,2017,202400
Anapu,2018,237584
Anapu,2019,283448
Anapu,2020,325932
Anapu,2021,337782
Anapu,2022,362621
Anapu,2023,375625
Augusto Corrêa,2008,3500
Augusto Corrêa,2009,2953
Augusto Corrêa,2010,3252
Augusto Corrêa,2011,3177
Augusto Corrêa,2012,3999
Augusto Corrêa,2013,4247
Augusto Corrêa,2014,3795
Augusto Corrêa,2015,3556
Augusto Corrêa,2016,3894
Augusto Corrêa,2017,4006
Augusto Corrêa,2018,3820
Augusto Corrêa,2019,3463
Augusto Corrêa,2020,3151
Augusto Corrêa,2021,3549
Augusto Corrêa,2022,3919
Augusto Corrêa,2023,4226
Aurora do Pará,2008,93884
